   n          Emf           Eo            X         SX-X           CH          Sig          Vxc         Eqp0         Eqp1
   1    -5.734270    -5.734270   -19.361983    12.169171   -14.333287   -14.819216   -10.465481   -10.088004   -10.088004
   2    -5.734270    -5.734270   -19.361983    12.169171   -14.333253   -14.819216   -10.465481   -10.088004   -10.088004
   3    -4.653051    -4.653051   -18.247144    11.385522   -14.349117   -14.525094   -10.557183    -8.620962    -8.620962
   4    -4.653051    -4.653051   -18.247144    11.385522   -14.349423   -14.525094   -10.557183    -8.620962    -8.620962
   5    -4.653041    -4.653041   -18.246534    11.368595   -14.323568   -14.525830   -10.557184    -8.621687    -8.621687
   6    -4.653041    -4.653041   -18.246534    11.368595   -14.323192   -14.525830   -10.557184    -8.621687    -8.621687
   7    -1.590921    -1.590921   -15.676349     9.360746   -14.082545   -14.158043   -10.846540    -4.902424    -4.902424
   8    -1.590921    -1.590921   -15.676349     9.360746   -14.083662   -14.158043   -10.846540    -4.902424    -4.902424
   9    -1.590919    -1.590919   -16.179574     9.710724   -13.882341   -14.158043   -10.846606    -4.902356    -4.902356
  10    -1.590919    -1.590919   -16.179574     9.710723   -13.893588   -14.158043   -10.846606    -4.902356    -4.902356
  11    -1.590919    -1.590919   -16.179539     9.710678   -13.874340   -14.158043   -10.846606    -4.902356    -4.902356
  12    -1.590919    -1.590919   -16.179539     9.710680   -13.901289   -14.158043   -10.846606    -4.902356    -4.902356
  13    -1.590872    -1.590872   -16.179333     9.717404   -13.887967   -14.158169   -10.846562    -4.902479    -4.902479
  14    -1.590872    -1.590872   -16.179333     9.717404   -13.942289   -14.158169   -10.846562    -4.902479    -4.902479
  15    -1.590868    -1.590868   -15.677118     9.361368   -14.083495   -14.158169   -10.846495    -4.902541    -4.902541
  16    -1.590868    -1.590868   -15.677118     9.361368   -14.082393   -14.158169   -10.846495    -4.902541    -4.902541
  17    -1.590859    -1.590859   -16.179322     9.703382   -13.855774   -14.158169   -10.846561    -4.902466    -4.902466
  18    -1.590859    -1.590859   -16.179322     9.703382   -13.865869   -14.158169   -10.846561    -4.902466    -4.902466
  19    -1.430234    -1.430234   -16.162765     9.652618   -13.906122   -14.287243   -10.969319    -4.748158    -4.748158
  20    -1.430234    -1.430234   -16.162765     9.652619   -13.899055   -14.287243   -10.969319    -4.748158    -4.748158
  21    -1.430178    -1.430178   -16.162925     9.652597   -13.919017   -14.287528   -10.969275    -4.748431    -4.748431
  22    -1.430178    -1.430178   -16.162925     9.652598   -13.886456   -14.287528   -10.969275    -4.748431    -4.748431
  23    -1.424488    -1.424488   -16.158254     9.649649   -13.894044   -14.285677   -10.969125    -4.741040    -4.741040
  24    -1.424488    -1.424488   -16.158254     9.649650   -13.910103   -14.285677   -10.969125    -4.741040    -4.741040
  25    -1.424433    -1.424433   -16.158449     9.649604   -13.880670   -14.285980   -10.969082    -4.741331    -4.741331
  26    -1.424433    -1.424433   -16.158449     9.649605   -13.923468   -14.285980   -10.969082    -4.741331    -4.741331
  27     2.372188     2.372188   -11.852562     6.472611   -12.922698   -12.854350    -9.970800    -0.511362    -0.511362
